monthly_rent (€),number_of_bedrooms,number_of_bathrooms,Density per sq km,Average Income (€)
1595.0,4.0,3.0,32.5,42674.0
1600.0,4.0,1.0,38.2,45599.0
1600.0,2.0,1.0,1581.5,60804.0
1600.0,1.0,1.0,1581.5,60804.0
1600.0,4.0,3.0,39.0,44678.0
1600.0,5.0,1.0,34.4,39156.0
1600.0,2.0,1.0,146.2,55861.0
1600.0,3.0,2.0,1581.5,60804.0
1600.0,1.0,1.0,1581.5,60804.0
1600.0,3.0,1.0,69.3,42906.0
1600.0,4.0,5.0,69.1,44000.0
1600.0,2.0,1.0,68.6,46308.0
1600.0,3.0,3.0,32.5,42674.0
1600.0,2.0,1.0,1581.5,60804.0
1600.0,3.0,3.0,42.3,43183.0
1600.0,4.0,3.0,39.0,44678.0
1600.0,4.0,2.0,77.5,52284.0
1600.0,3.0,2.0,68.6,46308.0
1600.0,2.0,1.0,1581.5,60804.0
1600.0,3.0,2.0,32.5,42674.0
1600.0,3.0,1.0,69.3,42906.0
1600.0,4.0,3.0,68.6,46308.0
1600.0,4.0,4.0,53.4,46563.0
1600.0,1.0,1.0,1581.5,60804.0
1600.0,1.0,1.0,1581.5,60804.0
1600.0,3.0,1.0,27.6,44833.0
1600.0,2.0,2.0,53.4,46563.0
1600.0,1.0,1.0,1581.5,60804.0
1600.0,2.0,2.0,68.6,46308.0
1600.0,4.0,2.0,42.3,43183.0
1600.0,4.0,2.0,50.2,46510.0
1600.0,4.0,3.0,42.3,43183.0
1600.0,3.0,3.0,76.0,49272.0
1600.0,1.0,1.0,1581.5,60804.0
1611.0,2.0,1.0,76.9,55361.0
1625.0,1.0,1.0,1581.5,60804.0
1625.0,1.0,1.0,1581.5,60804.0
1632.0,1.0,1.0,68.6,46308.0
1642.0,1.0,1.0,1581.5,60804.0
1650.0,2.0,1.0,52.3,46782.0
1650.0,3.0,3.0,77.5,52284.0
1650.0,1.0,1.0,1581.5,60804.0
1650.0,2.0,1.0,1581.5,60804.0
1650.0,5.0,2.0,69.3,42906.0
1650.0,3.0,2.0,37.1,48576.0
1650.0,1.0,1.0,146.2,55861.0
1650.0,3.0,2.0,69.1,44000.0
1650.0,4.0,2.0,32.5,42674.0
1650.0,2.0,1.0,68.6,46308.0
1650.0,2.0,1.0,1581.5,60804.0
1650.0,3.0,2.0,69.1,44000.0
1650.0,1.0,1.0,1581.5,60804.0
1650.0,2.0,1.0,169.1,45905.0
1650.0,3.0,1.0,45.1,48765.0
1650.0,2.0,1.0,94.3,53018.0
1650.0,2.0,1.0,52.3,46782.0
1650.0,3.0,1.0,39.0,44678.0
1650.0,1.0,1.0,1581.5,60804.0
1650.0,1.0,1.0,1581.5,60804.0
1650.0,4.0,3.0,76.0,49272.0
1652.0,2.0,1.0,45.1,48765.0
1661.0,2.0,1.0,77.5,52284.0
1670.0,1.0,1.0,1581.5,60804.0
1672.0,2.0,2.0,1581.5,60804.0
1675.0,3.0,3.0,42.3,43183.0
1675.0,1.0,1.0,77.5,52284.0
1675.0,1.0,1.0,1581.5,60804.0
1681.0,1.0,1.0,1581.5,60804.0
1683.0,1.0,1.0,1581.5,60804.0
1683.0,1.0,1.0,1581.5,60804.0
1685.0,1.0,1.0,1581.5,60804.0
1690.0,1.0,1.0,1581.5,60804.0
1692.0,1.0,1.0,1581.5,60804.0
1695.0,1.0,1.0,1581.5,60804.0
1696.0,2.0,1.0,77.5,52284.0
1698.0,1.0,1.0,1581.5,60804.0
1699.0,2.0,1.0,1581.5,60804.0
1700.0,2.0,1.0,169.1,45905.0
1700.0,2.0,2.0,68.6,46308.0
1700.0,2.0,2.0,76.0,49272.0
1700.0,2.0,2.0,76.9,55361.0
1700.0,2.0,2.0,45.1,48765.0
1700.0,2.0,1.0,1581.5,60804.0
1700.0,3.0,2.0,69.3,42906.0
1700.0,1.0,1.0,1581.5,60804.0
1700.0,1.0,1.0,146.2,55861.0
1700.0,1.0,1.0,1581.5,60804.0
1700.0,3.0,2.0,68.6,46308.0
1700.0,1.0,1.0,1581.5,60804.0
1700.0,1.0,1.0,1581.5,60804.0
1700.0,3.0,1.0,69.3,42906.0
1700.0,3.0,3.0,37.1,48576.0
1700.0,1.0,1.0,76.9,55361.0
1700.0,1.0,1.0,146.2,55861.0
1700.0,1.0,1.0,1581.5,60804.0
1700.0,1.0,1.0,1581.5,60804.0
1700.0,2.0,1.0,1581.5,60804.0
1700.0,2.0,1.0,1581.5,60804.0
1710.0,1.0,1.0,1581.5,60804.0
1713.0,2.0,1.0,1581.5,60804.0
1722.0,1.0,1.0,1581.5,60804.0
1727.0,1.0,1.0,1581.5,60804.0
1736.0,3.0,3.0,77.5,52284.0
1738.0,1.0,1.0,1581.5,60804.0
1738.0,1.0,1.0,77.5,52284.0
1750.0,3.0,3.0,53.4,46563.0
1750.0,3.0,3.0,77.5,52284.0
1750.0,3.0,3.0,32.5,42674.0
1750.0,3.0,2.0,76.9,55361.0
1750.0,3.0,2.0,32.5,42674.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,3.0,1.0,94.3,53018.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,1.0,1.0,146.2,55861.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,1.0,1.0,1581.5,60804.0
1750.0,4.0,3.0,42.3,43183.0
1754.0,1.0,1.0,1581.5,60804.0
1759.0,3.0,3.0,77.5,52284.0
1766.0,2.0,2.0,146.2,55861.0
1775.0,1.0,1.0,1581.5,60804.0
1775.0,1.0,1.0,1581.5,60804.0
1775.0,1.0,1.0,1581.5,60804.0
1780.0,1.0,1.0,1581.5,60804.0
1782.0,4.0,3.0,45.1,48765.0
1782.0,1.0,1.0,1581.5,60804.0
1782.0,2.0,2.0,1581.5,60804.0
1784.0,1.0,1.0,1581.5,60804.0
1785.0,1.0,1.0,1581.5,60804.0
1790.0,1.0,1.0,1581.5,60804.0
1795.0,2.0,1.0,53.4,46563.0
1795.0,1.0,1.0,1581.5,60804.0
1795.0,1.0,1.0,1581.5,60804.0
1800.0,4.0,1.0,76.9,55361.0
1800.0,2.0,1.0,76.9,55361.0
1800.0,4.0,3.0,76.0,49272.0
1800.0,1.0,1.0,77.5,52284.0
1800.0,2.0,1.0,146.2,55861.0
1800.0,3.0,4.0,45.1,48765.0
1800.0,2.0,2.0,52.3,46782.0
1800.0,1.0,1.0,94.3,53018.0
1800.0,2.0,2.0,52.3,46782.0
1800.0,2.0,2.0,77.5,52284.0
1800.0,4.0,2.0,45.1,48765.0
1800.0,4.0,3.0,21.9,42924.0
1800.0,4.0,2.0,37.1,48576.0
1800.0,2.0,2.0,146.2,55861.0
1800.0,3.0,1.0,94.3,53018.0
1800.0,3.0,1.0,37.1,48576.0
1800.0,2.0,1.0,52.3,46782.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,3.0,2.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,3.0,1.0,45.1,48765.0
1800.0,3.0,3.0,69.1,44000.0
1800.0,4.0,3.0,42.3,43183.0
1800.0,4.0,2.0,94.3,53018.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,3.0,1.0,169.1,45905.0
1800.0,3.0,3.0,77.5,52284.0
1800.0,2.0,2.0,52.3,46782.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,4.0,2.0,69.3,42906.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,4.0,2.0,69.3,42906.0
1800.0,5.0,4.0,77.5,52284.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,2.0,1.0,45.1,48765.0
1800.0,2.0,2.0,69.3,42906.0
1800.0,5.0,2.0,76.0,49272.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,3.0,2.0,77.5,52284.0
1800.0,2.0,1.0,68.6,46308.0
1800.0,3.0,2.0,68.6,46308.0
1800.0,2.0,1.0,45.1,48765.0
1800.0,4.0,3.0,42.3,43183.0
1800.0,1.0,2.0,77.5,52284.0
1800.0,3.0,2.0,45.1,48765.0
1800.0,3.0,3.0,27.6,44833.0
1800.0,3.0,2.0,42.9,41418.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,3.0,3.0,32.5,42674.0
1800.0,4.0,2.0,24.7,43480.0
1800.0,1.0,1.0,1581.5,60804.0
1800.0,2.0,1.0,1581.5,60804.0
1800.0,3.0,1.0,45.1,48765.0
1800.0,2.0,1.0,1581.5,60804.0
1800.0,3.0,2.0,77.5,52284.0
1800.0,3.0,3.0,69.1,44000.0
1808.0,1.0,1.0,1581.5,60804.0
1813.0,4.0,3.0,52.3,46782.0
1814.0,3.0,3.0,76.0,49272.0
1817.0,3.0,3.0,76.9,55361.0
1821.0,1.0,1.0,1581.5,60804.0
1825.0,2.0,1.0,77.5,52284.0
1845.0,2.0,1.0,1581.5,60804.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,3.0,3.0,50.2,46510.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,3.0,3.0,39.0,44678.0
1850.0,4.0,1.0,146.2,55861.0
1850.0,2.0,1.0,1581.5,60804.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,2.0,1.0,94.3,53018.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,2.0,1.0,94.3,53018.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,1.0,1.0,1581.5,60804.0
1850.0,3.0,2.0,41.6,44108.0
1850.0,1.0,1.0,1581.5,60804.0
1861.0,3.0,3.0,68.6,46308.0
1863.0,1.0,1.0,1581.5,60804.0
1870.0,2.0,2.0,45.1,48765.0
1872.0,2.0,1.0,1581.5,60804.0
1952.0,1.0,1.0,1581.5,60804.0
1883.0,1.0,1.0,1581.5,60804.0
1890.0,1.0,1.0,1581.5,60804.0
1895.0,1.0,1.0,1581.5,60804.0
1895.0,1.0,1.0,1581.5,60804.0
1895.0,4.0,2.0,45.1,48765.0
1900.0,2.0,1.0,77.5,52284.0
